,abs_mean_corr,mean_corr,std_corr,positive_era_proportion,negative_era_proportion
feature_aaronic_unexampled_arguer,0.006279627427758258,0.006279627427758258,0.01934291000973512,0.5863453815261044,0.41365461847389556
feature_abating_unadaptable_weakfish,0.004018181698449951,0.004018181698449951,0.02244290682729546,0.5542168674698795,0.4457831325301205
feature_ablest_mauritanian_elding,0.011171567799880728,-0.011171567799880728,0.032869657528181925,0.39357429718875503,0.606425702811245
feature_abreast_viscoelastic_commander,0.005508059963686059,0.005508059963686059,0.019905018954740533,0.6184738955823293,0.3815261044176707
feature_acanthoid_slimiest_decor,0.0017389199103522426,0.0017389199103522426,0.019607819465577353,0.5502008032128514,0.4497991967871486
feature_acclimatisable_unfeigned_maghreb,0.007838282574264454,0.007838282574264454,0.04342043001267507,0.6104417670682731,0.3895582329317269
feature_accommodable_crinite_cleft,0.0033485989878483174,0.0033485989878483174,0.021916768725293738,0.570281124497992,0.42971887550200805
feature_acetose_periotic_coronation,0.001294178439894468,0.001294178439894468,0.028018713179296058,0.5261044176706827,0.4738955823293173
feature_acquisitive_lengthening_matron,0.004990877446708658,-0.004990877446708658,0.03161504345472264,0.46586345381526106,0.5341365461847389
feature_additive_untrustworthy_hierologist,0.00037177828767356977,0.00037177828767356977,0.025978048341669783,0.4979919678714859,0.5020080321285141
feature_addressable_intransitive_reconnoitrer,0.012745757519436808,-0.012745757519436808,0.03980566047871828,0.357429718875502,0.642570281124498
feature_adherent_judaic_gerry,0.004848116751508678,-0.004848116751508678,0.020543718563459903,0.40160642570281124,0.5983935742971888
feature_adjustable_ruffled_lumberjacket,0.00854745499608705,0.00854745499608705,0.023293541269899194,0.6265060240963856,0.37349397590361444
feature_admissive_jaggiest_yabby,0.0015084508450583132,0.0015084508450583132,0.024055701469836845,0.5060240963855421,0.4939759036144578
feature_adolescent_anguilliform_staging,0.00019903475290535973,-0.00019903475290535973,0.02267428973836292,0.4939759036144578,0.5060240963855421
feature_adored_empyreal_revel,0.008268246227869086,0.008268246227869086,0.0274426611058823,0.6385542168674698,0.3614457831325301
feature_adsorbed_blizzardy_burlesque,0.00960998851807756,0.00960998851807756,0.02078282059948947,0.6506024096385542,0.3493975903614458
feature_adventive_isohyetal_newshawk,0.00414504824350258,0.00414504824350258,0.019366601367097263,0.5582329317269076,0.44176706827309237
feature_adverbial_inexplicable_schul,0.014530787625339695,0.014530787625339695,0.02663624502988143,0.714859437751004,0.285140562248996
feature_adynamic_ramstam_urtica,0.0034062318509547416,0.0034062318509547416,0.018873242615536183,0.5622489959839357,0.43775100401606426
feature_aeolic_downy_forefinger,0.00020508216353848949,0.00020508216353848949,0.02373465432390089,0.5060240963855421,0.4939759036144578
feature_aeriform_discomposed_moolvie,0.008380951890805411,0.008380951890805411,0.022311142129264327,0.6506024096385542,0.3493975903614458
feature_affettuoso_taxidermic_greg,0.0036099774204950046,0.0036099774204950046,0.04452063247348771,0.5662650602409639,0.43373493975903615
feature_afoul_valvate_faery,0.005355584247058752,-0.005355584247058752,0.028505322609664974,0.43373493975903615,0.5662650602409639
feature_agape_untamable_towmond,0.00010506087011478189,0.00010506087011478189,0.020664850293289776,0.5341365461847389,0.46586345381526106
feature_agaze_lancinate_zohar,0.00021866796930215473,0.00021866796930215473,0.02026258135738337,0.4979919678714859,0.5020080321285141
feature_agee_sold_microhabitat,0.01290509890175433,0.01290509890175433,0.02295698963799647,0.7228915662650602,0.27710843373493976
feature_agitato_unlineal_perspicacity,0.002781338451365347,-0.002781338451365347,0.016801508177443553,0.42971887550200805,0.570281124497992
feature_ago_hypocritical_codeclination,0.0033496689204084804,-0.0033496689204084804,0.024615650977716938,0.44176706827309237,0.5582329317269076
feature_agricultural_uranic_ankerite,0.0022587619835176256,0.0022587619835176256,0.03481525949599337,0.5100401606425703,0.4899598393574297
feature_alcibiadean_lumpier_origan,0.0021101217151183772,0.0021101217151183772,0.01608109144081041,0.5582329317269076,0.44176706827309237
feature_aleatory_phallic_swingtree,0.00950138671907111,0.00950138671907111,0.02245069363579017,0.6265060240963856,0.37349397590361444
feature_alive_romansh_stinging,0.0076379706736824605,-0.0076379706736824605,0.03237504311786709,0.40160642570281124,0.5983935742971888
feature_altimetrical_muddled_symbolism,0.00476536290290367,0.00476536290290367,0.01704078825491939,0.5903614457831325,0.40963855421686746
feature_altruistic_congenital_disinflation,0.0008443294785296307,-0.0008443294785296307,0.018082228486329028,0.4899598393574297,0.5100401606425703
feature_amative_irresponsive_flattie,0.00372064793032072,-0.00372064793032072,0.021844866612171266,0.42570281124497994,0.5742971887550201
feature_amoroso_wimpish_maturing,0.0021751395263023762,0.0021751395263023762,0.02016772478032194,0.5903614457831325,0.40963855421686746
feature_analgesic_ardent_conservatoire,0.0018419183697475085,0.0018419183697475085,0.020432557968210942,0.5502008032128514,0.4497991967871486
